material_id,name,phase,category,subcategory,description,specifications,unit,usage_type,usage_ratio,quality_grade,brand,notes,functional_tag,synonyms,room_type,finishing_tier_min
M0292,Cable lug copper 16mm2,Electrical (Rough + Final),Electrical,Accessories,Copper lug for terminating cables.,Ring lug; 16mm2,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
M0293,Cable lug copper 25mm2,Electrical (Rough + Final),Electrical,Accessories,Copper lug for terminating cables.,Ring lug; 25mm2,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
M0294,Ceiling fan hook heavy duty,Electrical (Rough + Final),Electrical,Accessories,Hook/anchoring for ceiling fan installation.,MS heavy duty,pcs,per_marla,2.0,standard,,,electrical,,general,economy
M0295,Nails (common) 1 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Common nails used in shuttering/woodwork/general site tasks.,MS; 1 in,kg,per_sqft,0.0011,standard,,,consumable,,general,economy
M0296,Nails (common) 1.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Common nails used in shuttering/woodwork/general site tasks.,MS; 1.5 in,kg,per_sqft,0.0013,standard,,,consumable,,general,economy
M0297,Nails (common) 2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Common nails used in shuttering/woodwork/general site tasks.,MS; 2 in,kg,per_sqft,0.0016,standard,,,consumable,,general,economy
M0298,Nails (common) 2.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Common nails used in shuttering/woodwork/general site tasks.,MS; 2.5 in,kg,per_sqft,0.0018,standard,,,consumable,,general,economy
M0299,Nails (common) 3 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Common nails used in shuttering/woodwork/general site tasks.,MS; 3 in,kg,per_sqft,0.002,standard,,,consumable,,general,economy
M0300,Nails (common) 4 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Common nails used in shuttering/woodwork/general site tasks.,MS; 4 in,kg,per_sqft,0.0022,standard,,,consumable,,general,economy
M0301,Wood Screw 1/2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",wood screw; 1/2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0302,Wood Screw 1 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",wood screw; 1 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0303,Wood Screw 1.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",wood screw; 1.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0304,Wood Screw 2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",wood screw; 2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0305,Wood Screw 2.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",wood screw; 2.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0306,Wood Screw 3 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",wood screw; 3 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0307,Self-Tapping 1/2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",self-tapping; 1/2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0308,Self-Tapping 1 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",self-tapping; 1 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0309,Self-Tapping 1.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",self-tapping; 1.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0310,Self-Tapping 2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",self-tapping; 2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0311,Self-Tapping 2.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",self-tapping; 2.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0312,Self-Tapping 3 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",self-tapping; 3 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0313,Drywall Screw 1/2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",drywall screw; 1/2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0314,Drywall Screw 1 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",drywall screw; 1 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0315,Drywall Screw 1.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",drywall screw; 1.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0316,Drywall Screw 2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",drywall screw; 2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0317,Drywall Screw 2.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",drywall screw; 2.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0318,Drywall Screw 3 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",drywall screw; 3 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0319,Chipboard Screw 1/2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",chipboard screw; 1/2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0320,Chipboard Screw 1 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",chipboard screw; 1 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0321,Chipboard Screw 1.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",chipboard screw; 1.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0322,Chipboard Screw 2 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",chipboard screw; 2 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0323,Chipboard Screw 2.5 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",chipboard screw; 2.5 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0324,Chipboard Screw 3 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,"Screws for fixtures, hardware, woodwork, and general installation.",chipboard screw; 3 in,pcs,per_sqft,0.08,standard,,,consumable,,general,economy
M0325,Wall plug (rawl plug) 6mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Plastic wall plug used with screws for masonry fixing.,6mm,pcs,per_sqft,0.12,standard,,,consumable,,general,economy
M0326,Wall plug (rawl plug) 8mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Plastic wall plug used with screws for masonry fixing.,8mm,pcs,per_sqft,0.12,standard,,,consumable,,general,economy
M0327,Wall plug (rawl plug) 10mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Plastic wall plug used with screws for masonry fixing.,10mm,pcs,per_sqft,0.12,standard,,,consumable,,general,economy
M0328,Wall plug (rawl plug) 12mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fasteners,Plastic wall plug used with screws for masonry fixing.,12mm,pcs,per_sqft,0.12,standard,,,consumable,,general,economy
M0329,Cable ties (zip ties) 100mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fixings,Cable ties for bundling and temporary fixing.,100mm,pack,per_marla,0.15,standard,,,consumable,,general,economy
M0330,Cable ties (zip ties) 150mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fixings,Cable ties for bundling and temporary fixing.,150mm,pack,per_marla,0.15,standard,,,consumable,,general,economy
M0331,Cable ties (zip ties) 200mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fixings,Cable ties for bundling and temporary fixing.,200mm,pack,per_marla,0.15,standard,,,consumable,,general,economy
M0332,Cable ties (zip ties) 250mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fixings,Cable ties for bundling and temporary fixing.,250mm,pack,per_marla,0.15,standard,,,consumable,,general,economy
M0333,Cable ties (zip ties) 300mm,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Fixings,Cable ties for bundling and temporary fixing.,300mm,pack,per_marla,0.15,standard,,,consumable,,general,economy
M0334,Tile spacer 1mm,Flooring & Tiling,Consumable,Accessories,Spacer for consistent tile joint width.,1mm,pcs,per_sqft,0.6,standard,,,finishing,,general,economy
M0335,Tile spacer 2mm,Flooring & Tiling,Consumable,Accessories,Spacer for consistent tile joint width.,2mm,pcs,per_sqft,0.6,standard,,,finishing,,general,economy
M0336,Tile spacer 3mm,Flooring & Tiling,Consumable,Accessories,Spacer for consistent tile joint width.,3mm,pcs,per_sqft,0.6,standard,,,finishing,,general,economy
M0337,Tile spacer 4mm,Flooring & Tiling,Consumable,Accessories,Spacer for consistent tile joint width.,4mm,pcs,per_sqft,0.6,standard,,,finishing,,general,economy
M0338,Tile spacer 5mm,Flooring & Tiling,Consumable,Accessories,Spacer for consistent tile joint width.,5mm,pcs,per_sqft,0.6,standard,,,finishing,,general,economy
M0339,Tile grout (cement grout),Flooring & Tiling,Tiling,Grout,Grout for tile joints; epoxy used for premium wet areas.,White/colored,kg,per_sqft,0.03,standard,,,finishing,,general,economy
M0340,Tile grout (epoxy grout),Flooring & Tiling,Tiling,Grout,Grout for tile joints; epoxy used for premium wet areas.,White/colored,kg,per_sqft,0.03,premium,,,finishing,,general,premium
M0341,Tile adhesive (standard),Flooring & Tiling,Tiling,Adhesive,Cementitious tile adhesive for floor/wall tiles.,20kg bag,bag,per_sqft,0.0006,standard,,,finishing,,general,economy
M0342,Tile adhesive (flex),Flooring & Tiling,Tiling,Adhesive,Cementitious tile adhesive for floor/wall tiles.,20kg bag,bag,per_sqft,0.00075,premium,,,finishing,,general,premium
M0343,Tile adhesive (rapid set),Flooring & Tiling,Tiling,Adhesive,Cementitious tile adhesive for floor/wall tiles.,20kg bag,bag,per_sqft,0.0008,premium,,,finishing,,general,premium
M0344,Tile trim L-trim (aluminum/PVC),Flooring & Tiling,Tiling,Profiles,Trims for tile edges and corners.,8–10 ft,rft,per_sqft,0.06,standard,,,finishing,,general,economy
M0345,Tile trim T-trim (aluminum/PVC),Flooring & Tiling,Tiling,Profiles,Trims for tile edges and corners.,8–10 ft,rft,per_sqft,0.06,standard,,,finishing,,general,economy
M0346,Tile trim U-trim (aluminum/PVC),Flooring & Tiling,Tiling,Profiles,Trims for tile edges and corners.,8–10 ft,rft,per_sqft,0.06,standard,,,finishing,,general,economy
M0347,Tile trim corner trim (aluminum/PVC),Flooring & Tiling,Tiling,Profiles,Trims for tile edges and corners.,8–10 ft,rft,per_sqft,0.06,standard,,,finishing,,general,economy
M0348,Torch-on membrane 3mm,Roofing & Waterproofing,Waterproofing,System,Roof/wet-area waterproofing system component.,Torch-on membrane 3mm,ft2,per_sqft,0.45,standard,,,waterproofing,,general,economy
M0349,Torch-on membrane 4mm,Roofing & Waterproofing,Waterproofing,System,Roof/wet-area waterproofing system component.,Torch-on membrane 4mm,ft2,per_sqft,0.45,standard,,,waterproofing,,general,economy
M0350,Liquid membrane acrylic,Roofing & Waterproofing,Waterproofing,System,Roof/wet-area waterproofing system component.,Liquid membrane acrylic,kg,per_sqft,0.00018,standard,,,waterproofing,,general,economy
M0351,Cementitious waterproof coating,Roofing & Waterproofing,Waterproofing,System,Roof/wet-area waterproofing system component.,Cementitious waterproof coating,kg,per_sqft,0.00022,standard,,,waterproofing,,general,economy
M0352,XPS insulation board (roof) 1 inch,Roofing & Waterproofing,Waterproofing,Insulation,Thermal insulation board for roofs.,XPS 25–35kg/m3; 1 in,ft2,per_sqft,0.28,standard,,,waterproofing,,general,economy
M0353,Geotextile protection layer,Roofing & Waterproofing,Waterproofing,Protection,Protection layer for membranes in some systems.,Non-woven 150–200gsm,ft2,per_sqft,0.3,standard,,,waterproofing,,general,economy
M0354,Interior primer (water-based),Paint & Finishing,Paint,Primer,Primer coat for improved adhesion and uniform finish.,Interior primer (water-based),litre,per_sqft,0.00022,standard,,,finishing,,general,economy
M0355,Exterior primer (alkali-resistant),Paint & Finishing,Paint,Primer,Primer coat for improved adhesion and uniform finish.,Exterior primer (alkali-resistant),litre,per_sqft,0.00022,standard,,,finishing,,general,economy
M0356,Metal red oxide primer,Paint & Finishing,Paint,Primer,Primer coat for improved adhesion and uniform finish.,Metal red oxide primer,litre,per_sqft,4e-05,standard,,,finishing,,general,economy
M0357,Wood primer,Paint & Finishing,Paint,Primer,Primer coat for improved adhesion and uniform finish.,Wood primer,litre,per_sqft,4e-05,standard,,,finishing,,general,economy
M0358,Paint thinner (enamel),Paint & Finishing,Paint,Solvent,Thinner for enamel paint and cleaning tools.,Solvent-based,litre,per_marla,0.25,standard,,,finishing,,general,economy
M0359,4 in mini roller,Paint & Finishing,Consumable,Tools,Painting tool accessory.,4 in mini roller,pcs,per_marla,0.3,standard,,,finishing,,general,economy
M0360,7 in roller,Paint & Finishing,Consumable,Tools,Painting tool accessory.,7 in roller,pcs,per_marla,0.3,standard,,,finishing,,general,economy
M0361,9 in roller,Paint & Finishing,Consumable,Tools,Painting tool accessory.,9 in roller,pcs,per_marla,0.3,standard,,,finishing,,general,economy
M0362,roller handle,Paint & Finishing,Consumable,Tools,Painting tool accessory.,roller handle,pcs,per_marla,0.3,standard,,,finishing,,general,economy
M0363,roller tray,Paint & Finishing,Consumable,Tools,Painting tool accessory.,roller tray,pcs,per_marla,0.3,standard,,,finishing,,general,economy
M0364,Bib tap (brass) 1/2 in,Sanitary & Bathroom Fittings,Sanitary,Accessories,Bathroom/kitchen fixture accessory item.,Bib tap (brass) 1/2 in,pcs,per_marla,0.15,standard,,,plumbing,,washroom,economy
M0365,Stop cock (concealed) 1/2 in,Sanitary & Bathroom Fittings,Sanitary,Accessories,Bathroom/kitchen fixture accessory item.,Stop cock (concealed) 1/2 in,pcs,per_marla,0.12,standard,,,plumbing,,washroom,economy
M0366,Wash basin waste coupling,Sanitary & Bathroom Fittings,Sanitary,Accessories,Bathroom/kitchen fixture accessory item.,Wash basin waste coupling,pcs,per_marla,0.1,standard,,,plumbing,,washroom,economy
M0367,Bottle trap (SS),Sanitary & Bathroom Fittings,Sanitary,Accessories,Bathroom/kitchen fixture accessory item.,Bottle trap (SS),pcs,per_marla,0.1,standard,,,plumbing,,washroom,economy
M0368,Toilet seat cover,Sanitary & Bathroom Fittings,Sanitary,Accessories,Bathroom/kitchen fixture accessory item.,Toilet seat cover,pcs,per_marla,0.08,standard,,,plumbing,,washroom,economy
M0369,Geyser safety valve,Sanitary & Bathroom Fittings,Sanitary,Accessories,Bathroom/kitchen fixture accessory item.,Geyser safety valve,pcs,per_marla,0.04,standard,,,plumbing,,washroom,economy
M0370,PPRC fitting Elbow 90° 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0371,PPRC fitting Elbow 45° 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0372,PPRC fitting Tee 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; tee,general,economy
M0373,PPRC fitting Socket 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; socket,general,economy
M0374,PPRC fitting Union 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; union,general,economy
M0375,PPRC fitting Reducer 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; reducer,general,economy
M0376,PPRC fitting End cap 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; cap,general,economy
M0377,PPRC fitting Male threaded adapter 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; mta,general,economy
M0378,PPRC fitting Female threaded adapter 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; fta,general,economy
M0379,PPRC fitting Ball valve 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0380,PPRC fitting Gate valve 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0381,PPRC fitting Check valve 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0382,PPRC fitting Elbow 90° 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0383,PPRC fitting Elbow 45° 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0384,PPRC fitting Tee 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; tee,general,economy
M0385,PPRC fitting Socket 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; socket,general,economy
M0386,PPRC fitting Union 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; union,general,economy
M0387,PPRC fitting Reducer 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; reducer,general,economy
M0388,PPRC fitting End cap 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; cap,general,economy
M0389,PPRC fitting Male threaded adapter 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; mta,general,economy
M0390,PPRC fitting Female threaded adapter 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; fta,general,economy
M0391,PPRC fitting Ball valve 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0392,PPRC fitting Gate valve 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0393,PPRC fitting Check valve 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0394,PPRC fitting Elbow 90° 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0395,PPRC fitting Elbow 45° 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0396,PPRC fitting Tee 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; tee,general,economy
M0397,PPRC fitting Socket 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; socket,general,economy
M0398,PPRC fitting Union 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; union,general,economy
M0399,PPRC fitting Reducer 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; reducer,general,economy
M0400,PPRC fitting End cap 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; cap,general,economy
M0401,PPRC fitting Male threaded adapter 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; mta,general,economy
M0402,PPRC fitting Female threaded adapter 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; fta,general,economy
M0403,PPRC fitting Ball valve 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0404,PPRC fitting Gate valve 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0405,PPRC fitting Check valve 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0406,PPRC fitting Elbow 90° 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0407,PPRC fitting Elbow 45° 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0408,PPRC fitting Tee 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; tee,general,economy
M0409,PPRC fitting Socket 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; socket,general,economy
M0410,PPRC fitting Union 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; union,general,economy
M0411,PPRC fitting Reducer 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; reducer,general,economy
M0412,PPRC fitting End cap 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; cap,general,economy
M0413,PPRC fitting Male threaded adapter 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; mta,general,economy
M0414,PPRC fitting Female threaded adapter 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; fta,general,economy
M0415,PPRC fitting Ball valve 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0416,PPRC fitting Gate valve 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0417,PPRC fitting Check valve 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.004,standard,,,plumbing,pprc; fitting; valve,general,economy
M0418,PPRC fitting Elbow 90° 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
M0419,PPRC fitting Elbow 45° 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,pprc; fitting; elbow,general,economy
